S. No.,College Name,College Type,State Name
311,"Vidya Kendran Degree College, Sattenapalli (Id: C-40607)",Affiliated College,Andhra Pradesh
312,"Vignan Degree College, Chemakurthi (Id: C-42744)",Affiliated College,Andhra Pradesh
313,"Vignan Degree College, Guntur (Id: C-32750)",Affiliated College,Andhra Pradesh
314,"Vijaya Jyothi Degree College, Mangalagiri (Id: C-42246)",Affiliated College,Andhra Pradesh
315,Vijayateja Degree College (Id: C-41022),Affiliated College,Andhra Pradesh
316,"Vikas Degree College, Macherla (Id: C-44106)",Affiliated College,Andhra Pradesh
317,Vinukonda B.Ed. College (Id: C-32638),Affiliated College,Andhra Pradesh
318,Vision Institute of Sciences & Technology (Id: C-32684),Affiliated College,Andhra Pradesh
319,Viveka Arts & Science Degree College (Id: C-32651),Affiliated College,Andhra Pradesh
320,"Viveka College of Education, Vaddesangam (Id: C-44487)",Affiliated College,Andhra Pradesh
321,"Vivekananda College of Education, Kandukur (Id: C-39455)",Affiliated College,Andhra Pradesh
322,"VJ&BL Degree College, Mangalagiri (Id: C-42708)",Affiliated College,Andhra Pradesh
323,V.R.S. & Y.R.N. College (Id: C-32639),Affiliated College,Andhra Pradesh
